Country,Year,Deaths,GDP_per_Capita,Democracy score,Population_2020,Deaths_per_Population
Brazil,2021,169575139,7794.88097933152,6.86,213196304.0,0.7953943657484794
Brazil,2022,13657128,9065.49733395404,6.78,213196304.0,0.06405893415488104
Bulgaria,2020,347789,10148.3423954435,6.709999999999999,6934015.0,0.050156943704332914
Bulgaria,2021,6554630,12219.3418706779,6.64,6934015.0,0.9452863889103211
Bulgaria,2022,699645,13974.4492487792,6.53,6934015.0,0.10090041628118773
Burkina Faso,2020,15425,823.5524108809678,3.7299999999999995,21522626.0,0.0007166876383950546
Burkina Faso,2021,64865,888.803610895832,3.84,21522626.0,0.0030138050998052
Burkina Faso,2022,7417,830.043965850311,3.08,21522626.0,0.0003446140819433465
Burundi,2020,276,216.827417481114,2.14,12220227.0,2.2585505162874633e-05
Burundi,2021,6901,221.157803429854,2.13,12220227.0,0.0005647194606123111
Burundi,2022,836,259.025031363088,2.13,12220227.0,6.841116781218549e-05
Cambodia,2020,0,1577.91173991645,3.1,16396860.0,0.0
Cambodia,2021,424061,1625.2350214797902,2.9,16396860.0,0.02586232973874266
Cambodia,2022,66324,1759.60802346044,3.18,16396860.0,0.0040449207958109055
Cameroon,2020,88766,1539.1305451924502,2.77,26491087.0,0.003350787379921405
Cameroon,2021,432600,1654.25703730592,2.56,26491087.0,0.016330020734898497
Cameroon,2022,40782,1563.48894034459,2.56,26491087.0,0.001539461178018101
Canada,2020,2511616,43537.839298904,9.24,38028638.0,0.06604538400770493
Canada,2021,9428646,52496.8441693242,8.87,38028638.0,0.24793541120247325
Canada,2022,700805,55509.393176403995,8.88,38028638.0,0.018428348656609788
Central African Republic,2020,11732,435.469247800022,1.32,5343020.0,0.0021957619473631017
Central African Republic,2021,32247,461.137510956047,1.4299999999999997,5343020.0,0.006035350794120179
Central African Republic,2022,2303,427.058096191269,1.35,5343020.0,0.00043102964241196925
Chad,2020,19635,643.772215694009,1.55,16644701.0,0.0011796547141339456
Chad,2021,59632,685.690314996618,1.67,16644701.0,0.0035826417068110746
Chad,2022,4061,699.463254485574,1.6699999999999997,16644701.0,0.00024398155304802412
Chile,2020,2404918,13162.591351970697,8.28,19300315.0,0.12460511654861592
Chile,2021,11113710,16185.9147709548,7.920000000000001,19300315.0,0.5758304981032693
Chile,2022,864819,15411.1739539112,8.22,19300315.0,0.04480854328025216
China,2020,1415378,10408.7195541075,2.27,1411100000.0,0.0010030316774147828
China,2021,1766982,12617.505104118101,2.21,1411100000.0,0.0012522018283608533
China,2022,106678,12662.5831692254,1.94,1411100000.0,7.559917794628304e-05
Colombia,2020,4585410,5308.16470717512,7.040000000000001,50930662.0,0.09003240523360957
Colombia,2021,35427974,6182.9559438651,6.48,50930662.0,0.6956118889638623
Colombia,2022,2875285,6657.08669677355,6.72,50930662.0,0.05645489155432537
Comoros,2020,1443,1519.58678065177,3.09,806166.0,0.0017899539300838786
Comoros,2021,49980,1577.4708412229197,3.2,806166.0,0.06199715691309234
Comoros,2022,3492,1484.89246532042,3.2,806166.0,0.004331614084444147
Costa Rica,2020,174561,12179.2566735195,8.16,5123105.0,0.034073281730513036
Costa Rica,2021,1720737,12604.0488374654,8.07,5123105.0,0.33587775382312096
Costa Rica,2022,162684,13365.3563992546,8.29,5123105.0,0.03175496110269065
Cote d'Ivoire,2020,23811,2350.75139725548,4.11,26811790.0,0.0008880794605656691
Cote d'Ivoire,2021,143866,2649.17304788159,4.22,26811790.0,0.005365773788322227
Cote d'Ivoire,2022,16365,2491.89593372995,4.22,26811790.0,0.0006103658129501985
Croatia,2020,156885,14383.869500030598,6.5,4047680.0,0.038759239860858566
Croatia,2021,2852144,17943.415126673,6.5,4047680.0,0.7046367301762986
Croatia,2022,285275,18673.1779905036,6.5,4047680.0,0.07047864455688196
Cuba,2020,26652,9499.57250428248,2.84,11300698.0,0.002358438390265805
Cuba,2021,1230857,,2.59,11300698.0,0.10891867033346082
Cuba,2022,183347,,2.65,11300698.0,0.01622439605058024
Cyprus,2020,7726,28281.412109375,7.56,1237537.0,0.006243045662473122
Cyprus,2021,145737,32745.83984375,7.43,1237537.0,0.11776375171004988
Cyprus,2022,14689,32048.248046875,7.379999999999999,1237537.0,0.011869544102519763
Czechia,2020,600899,22992.8793833348,7.67,10697858.0,0.05617002955171026
Czechia,2021,10127999,26822.514186211105,7.739999999999999,10697858.0,0.9467314858731533
Czechia,2022,806511,27226.615638602296,7.97,10697858.0,0.07538995189504291
Denmark,2020,176879,60836.5924121638,9.15,5831404.0,0.030332146426486656
Denmark,2021,918681,69268.6517983134,9.09,5831404.0,0.15754027674981874
Denmark,2022,75697,67790.0539923276,9.28,5831404.0,0.012980921918632288
Djibouti,2020,12519,2921.73870623293,2.71,1090156.0,0.011483677565412657
Djibouti,2021,49570,3062.55148207643,2.74,1090156.0,0.045470556507509016
Djibouti,2022,4158,3278.138695825,2.74,1090156.0,0.003814133023163657
Dominican Republic,2020,380121,7167.91497432809,6.32,10999664.0,0.03455751012030913
Dominican Republic,2021,1331819,8476.74963892506,6.45,10999664.0,0.12107815293267139
Dominican Republic,2022,93745,10111.2457110261,6.39,10999664.0,0.008522533051918676
Ecuador,2020,2063529,5450.43376119582,6.13,17588595.0,0.11732199189304206
Ecuador,2021,8959876,6036.4472741675,5.71,17588595.0,0.5094139696775097
Ecuador,2022,747691,6476.6445753013695,5.69,17588595.0,0.042509990138496
El Salvador,2020,153112,3960.31389233069,5.9,6292731.0,0.024331566056136834
El Salvador,2021,946540,4599.67878581609,5.719999999999999,6292731.0,0.1504179981632776
El Salvador,2022,84294,5048.443972532,5.06,6292731.0,0.013395455804482983
Equatorial Guinea,2020,15300,6198.94251851904,1.92,1596049.0,0.009586171853119798
Equatorial Guinea,2021,45497,7473.926060692959,1.92,1596049.0,0.028506017045842578
Equatorial Guinea,2022,3895,8052.25652929933,1.9199999999999997,1596049.0,0.0024404012658759224
Eritrea,2020,12,,2.15,3555868.0,3.3747034479345128e-06
Eritrea,2021,10066,,2.03,3555868.0,0.0028308137422424005
Eritrea,2022,1835,,2.03,3555868.0,0.0005160484022466526
Estonia,2020,20833,23565.1759437969,7.839999999999999,1329522.0,0.015669541384046297
Estonia,2021,425939,27698.4793450267,7.84,1329522.0,0.3203700277242498
Estonia,2022,43229,28114.1431760201,7.96,1329522.0,0.032514693250657006
Eswatini,2020,17607,3372.90461128068,3.0800000000000005,1180655.0,0.01491290851264764
Eswatini,2021,312619,4068.5737898453194,3.08,1180655.0,0.26478437816296885
Eswatini,2022,29549,3986.8872391826694,3.01,1180655.0,0.02502763296644659
Ethiopia,2020,200308,918.652594077418,3.38,117190911.0,0.0017092451819919721
Ethiopia,2021,1582711,925.00069759158,3.3,117190911.0,0.013505407428738224
Ethiopia,2022,155822,1027.49863136325,3.17,117190911.0,0.0013296423645004346
Fiji,2020,281,4815.68912941764,5.72,920422.0,0.0003052947452364242
Fiji,2021,94968,4656.0513619168,5.61,920422.0,0.10317875930823035
Fiji,2022,15917,5356.16438036291,5.55,920422.0,0.01729315466166606
Finland,2020,91124,49169.7193388499,9.2,5529543.0,0.016479481215717105
Finland,2021,375136,53504.6936483441,9.27,5529543.0,0.06784213451274364
Finland,2022,40273,50734.7107480889,9.29,5529543.0,0.007283242032840689
France,2020,9284524,39179.7442596057,7.989999999999999,67571107.0,0.1374037574965288
France,2021,38470807,43671.3084099631,7.990000000000001,67571107.0,0.5693381196196771
France,2022,2796829,40886.2532680273,8.07,67571107.0,0.041390900995598605
Gabon,2020,11246,6680.08267035383,3.54,2292573.0,0.00490540541129988
Gabon,2021,59056,8635.79714374956,3.4,2292573.0,0.025759703180662077
Gabon,2022,6492,8820.34733809998,3.4,2292573.0,0.0028317527947855966
Georgia,2020,88764,4300.85701291207,5.31,3722716.0,0.0238438817250631
Georgia,2021,2355374,5083.60695484577,5.12,3722716.0,0.6327031124587532
Georgia,2022,314165,6729.84659930283,5.2,3722716.0,0.08439134223507783
Germany,2020,2890884,46749.4762280016,8.67,83160871.0,0.034762550767415606
Germany,2021,30901985,51426.7503654421,8.67,83160871.0,0.3715928492379547
Germany,2022,2518598,48717.9911402128,8.8,83160871.0,0.03028585402863325
Ghana,2020,53074,2176.57621804239,6.5,32180401.0,0.0016492647186093176
Ghana,2021,315598,2422.08591285021,6.5,32180401.0,0.009807149388846957
Ghana,2022,29271,2218.41475790993,6.429999999999999,32180401.0,0.0009095909028604088
Greece,2020,208444,17617.2915057014,7.389999999999999,10698599.0,0.019483298701072915
Greece,2021,4398618,20310.6824798873,7.559999999999999,10698599.0,0.4111396267866475
Greece,2022,476135,20867.2690861087,7.97,10698599.0,0.04450442529905084
Guatemala,2020,587281,4609.89725752869,4.97,16858333.0,0.03483624389196725
Guatemala,2021,3701568,5029.47755484093,4.62,16858333.0,0.21956904042647632
Guatemala,2022,355374,5473.20856444589,4.68,16858333.0,0.02108002018942205
Guinea,2020,12892,1073.65933900139,3.0800000000000005,13205153.0,0.0009762855454987912
Guinea,2021,83209,1189.17599945874,2.28,13205153.0,0.00630125224599821
Guinea,2022,8838,1515.16794777612,2.32,13205153.0,0.0006692841801984422
Guinea-Bissau,2020,7413,754.27069401163,2.63,2015828.0,0.003677397079512736
Guinea-Bissau,2021,32737,836.870024795178,2.75,2015828.0,0.016239976823419457
Guinea-Bissau,2022,3310,814.1119900519551,2.56,2015828.0,0.0016420051710761038
Guyana,2020,16383,6863.07434593017,6.01,797202.0,0.02055062581378371
Guyana,2021,190548,9994.64570422569,6.25,797202.0,0.23902097586308113
Guyana,2022,23773,18199.4748396968,6.34,797202.0,0.029820547364407014
Haiti,2020,40688,1283.14122785939,4.22,11306801.0,0.003598542151754506
Haiti,2021,164653,1823.74222445285,3.48,11306801.0,0.014562297505722441
Haiti,2022,17090,1748.25713539751,2.81,11306801.0,0.0015114796837761627
Honduras,2020,412628,2307.13093003215,5.36,10121763.0,0.0407664158901962
Honduras,2021,2598055,2738.21626989704,5.1,10121763.0,0.2566800862656041
Honduras,2022,229827,3012.21734086324,5.15,10121763.0,0.022706222226305833
Hungary,2020,452473,16131.9540355923,6.56,9750149.0,0.04640677798872612
Hungary,2021,9635417,18755.1023464312,6.5,9750149.0,0.9882327952116424
Hungary,2022,881057,18355.8278072065,6.64,9750149.0,0.09036343957410292
Iceland,2020,3674,59023.566346577805,9.37,366463.0,0.010025568747731695
Iceland,2021,11314,69252.3112431448,9.18,366463.0,0.0308735124691988
Iceland,2022,901,75135.0916136358,9.52,366463.0,0.002458638389141605
India,2020,17171598,1915.55158799947,6.610000000000001,1396387127.0,0.012297161487653845
India,2021,121382644,2250.1790176424,6.91,1396387127.0,0.08692621240413369
India,2022,10671437,2366.30960899931,7.04,1396387127.0,0.0076421765810220045
Indonesia,2020,2148683,3895.61815200225,6.3,271857970.0,0.007903696919387722
Indonesia,2021,30620691,4334.23145407913,6.71,271857970.0,0.11263488431109818
Indonesia,2022,3171242,4787.91236404903,6.71,271857970.0,0.011665069080005268
Iraq,2020,1623028,4250.74290829159,3.62,42556984.0,0.03813775901036596
Iraq,2021,6615129,4816.78483395313,3.51,42556984.0,0.1554416779158974
Iraq,2022,532901,6441.91736451813,3.13,42556984.0,0.012522057484148783
Ireland,2020,460986,85973.0884875501,9.05,4985382.0,0.0924675380943727
Ireland,2021,1758645,102001.798249145,9.0,4985382.0,0.35276033010108354
Ireland,2022,131905,103983.29133582,9.13,4985382.0,0.026458353642709827
Israel,2020,339051,44846.7915954816,7.839999999999999,9215100.0,0.03679298108539245
Israel,2021,2418498,52129.5159612108,7.969999999999999,9215100.0,0.2624494579548784
Israel,2022,182461,54930.9388075096,7.929999999999999,9215100.0,0.01980021920543456
Italy,2020,10582442,31922.9191626183,7.74,59438851.0,0.1780391414362973
Italy,2021,43595671,36441.0598048734,7.68,59438851.0,0.7334541342328438
Italy,2022,3080018,35068.8359738449,7.69,59438851.0,0.051818262772273305
Jamaica,2020,23679,4897.26476180879,7.13,2820436.0,0.008395510481358202
Jamaica,2021,452353,5183.58102957767,7.13,2820436.0,0.1603840682788051
Jamaica,2022,55295,6047.2164436428,7.129999999999999,2820436.0,0.019605124881401315
Japan,2020,364142,40040.7655055923,8.13,126261000.0,0.0028840417864582097
Japan,2021,4811180,40058.5373276179,8.15,126261000.0,0.03810503639286874
Japan,2022,405222,34017.2718075024,8.33,126261000.0,0.0032093995770665525
Jordan,2020,172825,3998.67313829235,3.62,10928721.0,0.015813835855083135
Jordan,2021,3233166,4152.75795426388,3.49,10928721.0,0.295841205938005
Jordan,2022,283863,4311.0000506816,3.17,10928721.0,0.025974036669066766
Kazakhstan,2020,342310,9121.63640904156,3.1399999999999997,18755666.0,0.01825101811900468
Kazakhstan,2021,3598679,10270.8873391027,3.08,18755666.0,0.19187156563781846
Kazakhstan,2022,402319,11484.4168149009,3.08,18755666.0,0.021450531268790988
Kenya,2020,158497,1936.25075454374,5.05,51985780.0,0.003048852974794261
Kenya,2021,1320390,2069.66112881918,5.05,51985780.0,0.02539906105092585
Kenya,2022,120088,2099.29856841025,5.05,51985780.0,0.00231001631600026
Kuwait,2020,132226,24656.4337134064,3.8,4360444.0,0.03032397618224199
