Country,Year,Deaths,GDP_per_Capita,Democracy score,Population_2020,Deaths_per_Population
Senegal,2022,41853,1594.98515311153,5.72,16436120.0,0.00254640389580996
Serbia,2020,206832,7733.803468937631,6.220000000000001,6899126.0,0.029979449570858685
Serbia,2021,2636494,9232.95770463789,6.36,6899126.0,0.3821489852482764
Serbia,2022,285422,9537.68431879504,6.329999999999999,6899126.0,0.041370747541065345
Sierra Leone,2020,15538,493.432240551423,4.86,8233970.0,0.001887060555236417
Sierra Leone,2021,36424,504.621287621531,4.97,8233970.0,0.00442362554150671
Sierra Leone,2022,2734,475.795727844622,5.03,8233970.0,0.00033203910142980846
Singapore,2020,6795,61466.803676358,6.029999999999999,5685807.0,0.0011950810148849582
Singapore,2021,59551,79601.4129622433,6.23,5685807.0,0.010473623181370736
Singapore,2022,18446,88428.7024226232,6.22,5685807.0,0.003244218454829719
Slovenia,2020,118309,25558.4290544506,7.540000000000001,2102419.0,0.05627279814347188
Slovenia,2021,1585305,29331.0647010043,7.54,2102419.0,0.7540385622466311
Slovenia,2022,124793,28439.3340989687,7.75,2102419.0,0.059356864640207306
South Africa,2020,2968151,5753.06649434631,7.05,58801927.0,0.05047710426224637
South Africa,2021,24393223,7073.6127541552505,7.05,58801927.0,0.41483713620473694
South Africa,2022,2039146,6766.481254283939,7.05,58801927.0,0.03467821726318595
Spain,2020,8720097,26984.2962770279,8.12,47365655.0,0.18410168718241096
Spain,2021,28644917,30488.820952879705,7.940000000000001,47365655.0,0.6047613402580414
Spain,2022,1990260,29674.5442864413,8.07,47365655.0,0.04201905367929568
Sri Lanka,2020,9248,3846.17449566736,6.139999999999999,21919000.0,0.00042191705825995714
Sri Lanka,2021,2108672,3999.33800155592,6.14,21919000.0,0.09620292896573748
Sri Lanka,2022,333307,3342.72012524497,6.47,21919000.0,0.015206305032163876
Sudan,2020,189498,608.33251953125,2.54,44440486.0,0.004264084780710994
Sudan,2021,931931,749.706787109375,2.47,44440486.0,0.02097031522112517
Sudan,2022,73857,1102.24536132813,2.47,44440486.0,0.0016619305198417498
Suriname,2020,15480,4796.53331389928,6.82,607065.0,0.025499740554965285
Suriname,2021,205290,5026.87949279073,6.82,607065.0,0.3381680709643943
Suriname,2022,26529,5858.82466074423,6.95,607065.0,0.04370042746658101
Sweden,2020,1438568,52837.9039778149,9.26,10353442.0,0.13894586940265855
Sweden,2021,5103122,61417.6808766469,9.26,10353442.0,0.4928913495627831
Sweden,2022,340095,56299.5057328064,9.39,10353442.0,0.032848496181269955
Switzerland,2020,694613,85897.7843338323,8.83,8638167.0,0.08041208279487998
Switzerland,2021,3883259,93446.4344518943,8.9,8638167.0,0.44954664571777786
Switzerland,2022,272987,93259.9057183024,9.14,8638167.0,0.03160242213423287
Tajikistan,2020,16024,852.330202064927,1.94,9543207.0,0.0016791001180211222
Tajikistan,2021,38942,916.691967061922,1.9400000000000002,9543207.0,0.004080598901396564
Tajikistan,2022,2750,1076.43469114729,1.94,9543207.0,0.0002881630881526514
Tanzania,2020,5282,1104.16442871094,5.1,61704518.0,8.560151138365589e-05
Tanzania,2021,74202,1146.03198242188,5.1,61704518.0,0.0012025375516262844
Tanzania,2022,16330,1193.35961914063,5.1,61704518.0,0.00026464836821187064
Thailand,2020,15557,7001.85028683673,6.040000000000001,71475664.0,0.00021765450125793865
Thailand,2021,2687749,7070.512507291119,6.04,71475664.0,0.03760369403493754
Thailand,2022,480949,6913.05080521119,6.670000000000001,71475664.0,0.006728849696310621
Togo,2020,8764,876.542972383418,2.8,8442580.0,0.0010380713004792374
Togo,2021,56718,964.9981099619649,2.8,8442580.0,0.006718088546392217
Togo,2022,5659,923.2403711502579,2.99,8442580.0,0.0006702927304212693
Trinidad and Tobago,2020,13090,13705.900228570998,7.160000000000001,1518147.0,0.008622353434812307
Trinidad and Tobago,2021,339736,16056.302040927298,7.16,1518147.0,0.22378333586931964
Trinidad and Tobago,2022,68232,19629.4653400829,7.16,1518147.0,0.04494426429061217
Tunisia,2020,225290,3493.89773765706,6.589999999999999,12161723.0,0.018524513344038505
Tunisia,2021,5980789,3817.37717375123,5.989999999999999,12161723.0,0.49177151954538023
Tunisia,2022,565940,3607.9102377307795,5.51,12161723.0,0.0465345247544283
Uganda,2020,16752,846.76720261962,4.94,44404611.0,0.0003772581185318795
Uganda,2021,614221,883.892026171965,4.48,44404611.0,0.013832369796010598
Uganda,2022,74209,964.3541465266661,4.55,44404611.0,0.0016712003174625266
Ukraine,2020,1240038,3751.7373046875,5.81,44207754.0,0.02805023752168002
Ukraine,2021,19421018,4827.845703125,5.57,44207754.0,0.43931247898275944
Ukraine,2022,2288717,4575.97509765625,5.42,44207754.0,0.051771845274021386
United Arab Emirates,2020,99619,37629.1741680652,2.7,9287289.0,0.010726380970808597
United Arab Emirates,2021,623527,44332.3400499381,2.9,9287289.0,0.06713767602149562
United Arab Emirates,2022,48022,53707.980081380105,2.9,9287289.0,0.005170723124907602
United Kingdom,2020,11467694,40217.0090116986,8.54,67081234.0,0.17095234115699184
United Kingdom,2021,46867751,46869.759058411,8.1,67081234.0,0.698671568862314
United Kingdom,2022,3331595,45564.1569448013,8.28,67081234.0,0.049665082189752206
Uruguay,2020,12265,15651.0033775375,8.61,3429086.0,0.003576754855375456
Uruguay,2021,1470792,17733.8551643902,8.85,3429086.0,0.42891662676293335
Uruguay,2022,136757,20499.2422244452,8.91,3429086.0,0.03988147278895893
Uzbekistan,2020,75614,1759.30747053678,2.12,34232050.0,0.002208865668284546
Uzbekistan,2021,332793,1993.42447787206,2.12,34232050.0,0.009721678952911088
Uzbekistan,2022,33099,2276.16123306477,2.12,34232050.0,0.0009669009013482979
Zambia,2020,53042,958.264900505992,4.86,18927715.0,0.00280234566084707
Zambia,2021,849928,1134.71345415843,5.719999999999999,18927715.0,0.04490388829290805
Zambia,2022,84084,1456.90157026157,5.8,18927715.0,0.004442374581400872
Zimbabwe,2020,36683,1372.69667433317,3.16,15669666.0,0.0023410199043170416
Zimbabwe,2021,1029500,1773.92041088078,2.92,15669666.0,0.06570018786616129
Zimbabwe,2022,113949,1676.82148896788,2.92,15669666.0,0.007271948234250813
