Country,Year,Deaths,GDP_per_Capita,Democracy score
Eritrea,2021,10066,,2.03
Eritrea,2022,1835,,2.03
Estonia,2020,20833,23565.1759437969,7.839999999999999
Estonia,2021,425939,27698.4793450267,7.84
Estonia,2022,43229,28114.1431760201,7.96
Eswatini,2020,17607,3372.90461128068,3.0800000000000005
Eswatini,2021,312619,4068.5737898453194,3.08
Eswatini,2022,29549,3986.8872391826694,3.01
Ethiopia,2020,200308,918.652594077418,3.38
Ethiopia,2021,1582711,925.00069759158,3.3
Ethiopia,2022,155822,1027.49863136325,3.17
Fiji,2020,281,4815.68912941764,5.72
Fiji,2021,94968,4656.0513619168,5.61
Fiji,2022,15917,5356.16438036291,5.55
Finland,2020,91124,49169.7193388499,9.2
Finland,2021,375136,53504.6936483441,9.27
Finland,2022,40273,50734.7107480889,9.29
France,2020,9284524,39179.7442596057,7.989999999999999
France,2021,38470807,43671.3084099631,7.990000000000001
France,2022,2796829,40886.2532680273,8.07
Gabon,2020,11246,6680.08267035383,3.54
Gabon,2021,59056,8635.79714374956,3.4
Gabon,2022,6492,8820.34733809998,3.4
Georgia,2020,88764,4300.85701291207,5.31
Georgia,2021,2355374,5083.60695484577,5.12
Georgia,2022,314165,6729.84659930283,5.2
Germany,2020,2890884,46749.4762280016,8.67
Germany,2021,30901985,51426.7503654421,8.67
Germany,2022,2518598,48717.9911402128,8.8
Ghana,2020,53074,2176.57621804239,6.5
Ghana,2021,315598,2422.08591285021,6.5
Ghana,2022,29271,2218.41475790993,6.429999999999999
Greece,2020,208444,17617.2915057014,7.389999999999999
Greece,2021,4398618,20310.6824798873,7.559999999999999
Greece,2022,476135,20867.2690861087,7.97
Guatemala,2020,587281,4609.89725752869,4.97
Guatemala,2021,3701568,5029.47755484093,4.62
Guatemala,2022,355374,5473.20856444589,4.68
Guinea,2020,12892,1073.65933900139,3.0800000000000005
Guinea,2021,83209,1189.17599945874,2.28
Guinea,2022,8838,1515.16794777612,2.32
Guinea-Bissau,2020,7413,754.27069401163,2.63
Guinea-Bissau,2021,32737,836.870024795178,2.75
Guinea-Bissau,2022,3310,814.1119900519551,2.56
Guyana,2020,16383,6863.07434593017,6.01
Guyana,2021,190548,9994.64570422569,6.25
Guyana,2022,23773,18199.4748396968,6.34
Haiti,2020,40688,1283.14122785939,4.22
Haiti,2021,164653,1823.74222445285,3.48
